Player,testid,Date,TestName,MetricName,MetricValue
Player3,aKnuse2itlmJBmMCqjQY,2022-02-15 16:46,Countermovement Jump,Stiffness(N/m),-8622.6192
Player3,aKnuse2itlmJBmMCqjQY,2022-02-15 16:46,Countermovement Jump,Peak Propulsive Force(N),3053
Player3,aKnuse2itlmJBmMCqjQY,2022-02-15 16:46,Countermovement Jump,Flight Time(s),0.755
Player3,aKnuse2itlmJBmMCqjQY,2022-02-15 16:46,Countermovement Jump,Jump Momentum(kg.m/s),334.0958
Player3,aKnuse2itlmJBmMCqjQY,2022-02-15 16:46,Countermovement Jump,Right Force at Peak Propulsive Force(N),1504
Player3,UuqnshcbeBbcBGEQquLS,2022-02-15 16:46,Countermovement Jump,L|R Peak Landing Force(%),-2.1257
Player3,UuqnshcbeBbcBGEQquLS,2022-02-15 16:46,Countermovement Jump,L|R Braking Impulse Index(%),3.6538
Player3,UuqnshcbeBbcBGEQquLS,2022-02-15 16:46,Countermovement Jump,Avg. Propulsive Velocity(m/s),2.113
Player3,UuqnshcbeBbcBGEQquLS,2022-02-15 16:46,Countermovement Jump,RSI,1.0837
Player3,UuqnshcbeBbcBGEQquLS,2022-02-15 16:46,Countermovement Jump,Braking Phase %,17.768
Player3,UuqnshcbeBbcBGEQquLS,2022-02-15 16:46,Countermovement Jump,Left Avg. Propulsive Force(N),1235.4333
Player3,UuqnshcbeBbcBGEQquLS,2022-02-15 16:46,Countermovement Jump,Propulsive Phase(s),0.21
Player3,UuqnshcbeBbcBGEQquLS,2022-02-15 16:46,Countermovement Jump,Left Force at Peak Landing Force(N),2141
Player3,UuqnshcbeBbcBGEQquLS,2022-02-15 16:46,Countermovement Jump,Braking Impulse(N.s),252.403
Player3,UuqnshcbeBbcBGEQquLS,2022-02-15 16:46,Countermovement Jump,Peak Landing Force(N),4375
Player3,UuqnshcbeBbcBGEQquLS,2022-02-15 16:46,Countermovement Jump,Right Force at Peak Braking Force(N),1469
Player3,UuqnshcbeBbcBGEQquLS,2022-02-15 16:46,Countermovement Jump,Relative Braking Impulse(N.s/kg),2.7468
Player3,UuqnshcbeBbcBGEQquLS,2022-02-15 16:46,Countermovement Jump,Relative Propulsive Net Impulse(N.s/kg),3.5934
Player3,UuqnshcbeBbcBGEQquLS,2022-02-15 16:46,Countermovement Jump,Avg. Relative Propulsive Force(%),274.7536
Player3,UuqnshcbeBbcBGEQquLS,2022-02-15 16:46,Countermovement Jump,Propulsive Net Impulse(N.s),330.2057
Player3,UuqnshcbeBbcBGEQquLS,2022-02-15 16:46,Countermovement Jump,Right Avg. Braking Force(N),1031.6446
Player3,UuqnshcbeBbcBGEQquLS,2022-02-15 16:46,Countermovement Jump,Peak Propulsive Power(W),8210.2881
Player3,UuqnshcbeBbcBGEQquLS,2022-02-15 16:46,Countermovement Jump,Positive Impulse(N.s),771.0125
Player3,UuqnshcbeBbcBGEQquLS,2022-02-15 16:46,Countermovement Jump,L|R Propulsive Impulse Index(%),-0.4769
Player3,UuqnshcbeBbcBGEQquLS,2022-02-15 16:46,Countermovement Jump,Propulsive Impulse(N.s),518.6095
Player3,UuqnshcbeBbcBGEQquLS,2022-02-15 16:46,Countermovement Jump,Relative Peak Landing Force(%),485.3273
Player3,UuqnshcbeBbcBGEQquLS,2022-02-15 16:46,Countermovement Jump,Jump Height(m),0.6579
Player3,UuqnshcbeBbcBGEQquLS,2022-02-15 16:46,Countermovement Jump,Positive Net Impulse(N.s),474.4343
Player3,UuqnshcbeBbcBGEQquLS,2022-02-15 16:46,Countermovement Jump,mRSI,0.966
Player3,UuqnshcbeBbcBGEQquLS,2022-02-15 16:46,Countermovement Jump,Time To Takeoff(s),0.681
Player3,UuqnshcbeBbcBGEQquLS,2022-02-15 16:46,Countermovement Jump,Avg. Relative Braking Force(%),233.1882
